time,open,high,low,close,MRI Status
1748995200,105446,106000,104279,104745.4,0
1749081600,104745.4,105948.1,100400,101579.7,0
1749168000,101579.7,105360.1,101211.5,104376,0
1749254400,104376,105929,104000.1,105654.5,0
1749340800,105654.6,106477,105082.3,105754.2,0
1749427200,105754.2,110550,105392.3,110280,0
1749513600,110280,110373,108342.2,110273.6,0
1749600000,110273.6,110411,108139.5,108702,0
1749686400,108701.9,108790.2,105760,105760.1,0
1749772800,105760.1,106137.5,102812.3,106122.3,0
1749859200,106122.3,106172.3,104400,105479.4,0
1749945600,105479.4,106090,104529,105581.4,0
1750032000,105581.5,108924.6,105019.3,106800.1,0
1750118400,106800.1,107725.1,103400,104622.4,0
1750204800,104622.5,105529.9,103567.6,104892,0
1750291200,104891.9,105226.5,103931.6,104675.2,0
1750377600,104675.2,106470,102388.9,103292,0
1750464000,103300,103995.5,100933.5,102144,0
1750550400,102153,103380.5,98277.2,100987.9,0
1750636800,100987.9,106022.4,99700,105382,0
1750723200,105382.1,106309.1,104777,106100,0
1750809600,106100,108165.5,105888.2,107360,0
1750896000,107360,108289,106677.4,106945,0
1750982400,106945.1,107712.1,106477.2,107115.4,0
1751068800,107115.4,107544.2,106918.4,107325.1,0
1751155200,107325.1,108460.7,107228.2,108387.2,0
1751241600,108387.3,108792,106800,107120.3,0
1751328000,107120.3,107540.2,105312,105700.1,0
1751414400,105700.1,109794.7,105116.4,108846.9,0
1751500800,108846.9,110547.2,108600,109631,0
1751587200,109631,109746.6,107299.9,108018.9,0
1751673600,108018.9,108379,107829.7,108249.5,0
1751760000,108249.5,109650,107825.2,109223.2,0
1751846400,109223.2,109700,107520.3,108282.1,0
1751932800,108282.1,109199.3,107500,108931.9,0
1752019200,108932,112000,108375.3,111323.7,0
1752105600,111323.7,116800,110600,115990.2,0
1752192000,115990.2,118818.4,115212.5,117532.6,0
1752278400,117532.6,118235.6,116977.1,117461,0
1752364800,117461,119499,117277.3,119102.1,0
1752451200,119102.2,123140,118961.2,119855,0
1752537600,119855,119900,115712.2,117741,0
1752624000,117741,120049.5,117094,118712.6,0
1752710400,118712.6,120999.6,117527,119321,0
1752796800,119321,120833.7,116929.6,118011.9,0
1752883200,118011.9,118550,117382.5,117909.1,0
1752969600,117909.1,118867,116600,117319.1,0
1753056000,117319,119630.4,116623.7,117461,0
1753142400,117461,120237.5,116260,119977.5,0
1753228800,119977.5,120100,117411,118735.3,0
1753315200,118735.3,119489.8,117316,118386.9,0
1753401600,118387.5,118452,114733.1,117628.1,0
1753488000,117628.1,118276.6,117197.6,117937.5,0
1753574400,117937.6,119793.4,117863.8,119455,0
1753660800,119455.1,119779.9,117425.9,117979.7,0
1753747200,117979.7,119200,117000,117923,0
1753833600,117916.9,118749.4,115800,117820.7,0
1753920000,117820.7,118918.9,115500,115762.3,0
1754006400,115762.4,116000,112688.1,113290.2,0
1754092800,113290.1,114008.2,112000,112525.2,0
1754179200,112525.2,114742.9,111897.1,114224.1,0
1754265600,114224.1,115700,114137.1,115092.1,0
1754352000,115092.1,115092.1,112629.7,114115,0
1754438400,114115,115713.6,113400,115010,0
1754524800,115010,117643.3,114280,117498.1,0
1754611200,117498.1,117663,115946,116676,0
1754697600,116676,117869.4,116282.1,116467.4,0
1754784000,116467.4,119288.4,116467.3,119288.4,0
1754870400,119288.4,122273.5,118100,118724.5,0
1754956800,118724.5,120303.2,118255,120172,0
1755043200,120172.1,123724.7,118918.3,123354.3,0
1755129600,123354.3,124420,117250,118383.1,0
1755216000,118383.1,119312.7,116560.9,117426.7,0
1755302400,117426.7,117947.4,117284,117487.5,0
1755388800,117487.5,118550.2,117295.3,117441.3,0
1755475200,117441.3,117593.3,114715.9,116260,0
1755561600,116259.9,116766,112750,112830.3,0
1755648000,112830.4,114612.1,112400,114262.7,0
1755734400,114273.8,114738.6,112036,112462.5,0
1755820800,112475,117354,111676,116817.9,0
1755907200,116817.9,116975,114551.1,115344.1,0
1755993600,115344.1,115530.9,110692.2,113456.1,0
1756080000,113456.1,113619.8,109304.8,110144.9,0
1756166400,110145,112395.6,108734.6,111829.3,0
1756252800,111829.3,112603.4,110434.3,111268.6,0
1756339200,111268.6,113457.9,110902.6,112563.7,0
1756425600,112563.7,112570,107505,108400.1,0
1756512000,108400.1,108926.8,107352.6,108750,0
1756598400,108750,109490.8,108113.5,108250,0
1756684800,108250.1,109813.2,107255,109263.5,0
1756771200,109258.5,111737.8,108457,111196.9,0
1756857600,111196.9,112537.6,110600,111771.1,0
1756944000,111771.1,112193.7,109369.8,110744.3,0
1757030400,110744.4,113372.1,110231.4,110647.8,0
1757116800,110647.8,111243,110036.7,110254.9,0
1757203200,110254.9,111526.8,110239,111152.8,0
1757289600,111152.8,112864.4,110667.7,112050.1,0
1757376000,112050.1,113200,110815.3,111541,0
1757462400,111541,114300,110934,113952.8,0
1757548800,113952.8,115500,113400,115500,0
1757635200,115500,116743.3,114813.3,116111.7,0
1757721600,116111.7,116350.8,115251.1,115949.1,0
1757808000,115949.1,116149.9,115238.9,115390.6,0
1757894400,115390.6,116700,114158.2,115374.9,0
1757980800,115375,116961.3,114800,116764.2,0
1758067200,116764.2,117291.9,114799.9,116469,0
1758153600,116469.1,117920,116201.1,117135.7,0
1758240000,117135.8,117441.2,115180.4,115677.2,0
1758326400,115677.2,116176.8,115511,115739.1,0
1758412800,115739.1,115874.6,115259.4,115298.9,0
1758499200,115299,115410,111730.3,112747.8,0
1758585600,112747.8,113318.9,111557,112001.5,0
1758672000,112001.5,113954.3,111111,113300,0
1758758400,113300,113500,108680.5,109049.8,0
1758844800,109049.8,110354.8,108677.5,109706.3,0
1758931200,109706.4,109760.5,109177.6,109720.5,0
1759017600,109720.5,112367.8,109225.4,112127.8,0
1759104000,112127.8,114413.4,111628,114365.2,0
1759190400,114365.3,114798,112764.3,113995,0
1759276800,113995,118708.6,113971.1,118599.9,0
1759363200,118600,121008.9,118344.4,120649.9,0
1759449600,120650,123930.9,119350,122259.5,0
1759536000,122259.5,122843.7,121620,122426.4,0
1759622400,122426.4,125670,122250,123542.1,0
1759708800,123542.1,126198.1,123144.1,124766.5,0
1759795200,124765.9,125207.2,120694.6,121419.8,0
1759881600,121419.8,124150,121104.2,123329.7,0
1759968000,123329.8,123750.9,119750,121699,0
1760054400,121699,122498,100000,113000.1,0
1760140800,113000,113423,109760,110775.1,0
1760227200,110775.2,115780,109694.9,115125.3,0
1760313600,115125.3,115977.7,113705.8,115165.5,0
1760400000,115176.9,115457.2,110000,113106.2,0
1760486400,113106.3,113600,110252,110781.9,0
1760572800,110781.9,111950,107483,108182.3,0
1760659200,108182.3,109245,103583.2,106451,0
1760745600,106451,107492.6,106365.2,107199,0
1760832000,107199,109444,106125.2,108669.8,0
1760918400,108669.8,111700.1,107466.8,110574.4,0
1761004800,110574.4,114000,107500,108406.1,0
1761091200,108406.1,109156.4,106717,107644.1,0
1761177600,107644.1,111296,107556.3,110080,0
1761264000,110080,112400,109757.8,111000,0
1761350400,111000,111925.9,110700,111645.2,0
1761436800,111645.2,115400,111274.3,114509.9,0
1761523200,114510,116309.8,113801.4,114153,0
1761609600,114153.1,116023.4,112278.2,112918,0
1761696000,112918,113601,109251,110104.2,0
1761782400,110104.2,111561.5,106280.5,108302.7,0
1761868800,108302.7,111000,108302.6,109552.7,0
1761955200,109552.7,110421,109370,110018,0
1762041600,110018,111058.9,109428.7,110589.6,0
1762128000,110589.6,110699.6,105200.2,106538.3,0
1762214400,106538.3,107258.7,98900,101537.3,0
1762300800,101537.2,104499.9,98943.9,103900,0
1762387200,103900,104115.9,100266,101290.1,0
1762473600,101290.1,103995,99222,103279.9,0
1762560000,103279.9,103320,101489.9,102282.1,0
1762646400,102282.1,105431.9,101430,104729.8,0
1762732800,104729.9,106593.5,104300,105973.3,0
1762819200,105973.3,107400,102469.8,103011.5,0
1762905600,103011.5,105274,100796,101666.6,0
1762992000,101666.7,103999,98000,99680.1,0
1763078400,99680.1,99806.9,94000,94517.3,0
1763164800,94500.1,96700,94478.5,95537.9,0
1763251200,95538,96498.8,92890.6,94190.1,0
1763337600,94190.1,95888,91150,92101.3,0
1763424000,92101.3,93747.3,89251.9,92966.1,0
1763510400,92966.1,92966.1,88547,91427.7,0
1763596800,91427.7,93003.7,86000,86503,0
1763683200,86503,87331.7,80595.2,85069.4,0
1763769600,85069.4,85555,83432.8,84679.9,0
1763856000,84679.9,88061.8,84679.8,86777.4,0
1763942400,86777.5,89200,85250,88275,0
1764028800,88275,88432.1,86100,87326.3,0
1764115200,87326.4,90600,86299.5,90535.7,0
1764201600,90535.7,91878.9,90088.8,91281.4,0
1764288000,91281.4,93050,90250,90912.7,0
1764374400,90912.7,91179.5,90247.4,90833.6,0
1764460800,90833.6,91928.1,90351,90373.9,0
1764547200,90373.9,90378.7,83870.8,86300,0
1764633600,86300,92308.4,86203.8,91313.5,0
1764720000,91313.5,94051.6,91033.4,93457.9,0
1764806400,93458,94000,90924.8,92142.6,0
1764892800,92142.6,92679.3,88095.2,89332.4,0
1764979200,89332.4,90274.4,88999.9,89240.1,0
1765065600,89240.1,91713.7,87777,90435.1,0
1765152000,90435.1,92269.6,89615.8,90650.1,0
1765238400,90650.1,94583.7,89545.1,92702.2,0
1765324800,92702.2,94489,91599,92019.8,0
1765411200,92019.8,93561.8,89281.4,92541,0
1765497600,92541,92751,89500,90277.2,0
1765584000,90277.2,90629.9,89797.1,90254.1,0
1765670400,90254.2,90467.7,87582.5,88163,0
1765756800,88163,90038.8,85151.5,86434.3,0
1765843200,86434.3,88121.3,85263.6,87840.7,0
1765929600,87840.7,90318.3,85282.2,86207.8,0
1766016000,86205.5,89437.1,84421.4,85462.5,0
1766102400,85461,89335,85077,88105.2,0
1766188800,88105.2,88513.3,87800,88338.1,0
1766275200,88338.1,89013.9,87601.8,88622.2,0
1766361600,88623.7,90552.6,87863.6,88544.2,0
1766448000,88550.5,88888.8,86553.3,87416.4,0
1766534400,87416.4,87973.3,86271.4,87613.7,0
1766620800,87613.7,88547.9,86944.9,87198,0
1766707200,87183,89484.6,86611.7,87303.6,0
1766793600,87303.6,87913.3,87177.5,87802.6,0
1766880000,87814.4,87998.9,87364.3,87853.3,0
1766966400,87865.9,90298.9,86700,87135.1,0
1767052800,87135.1,89298,86736.5,88401.9,0
1767139200,88400.1,89067.4,87101.5,87500.1,0
1767225600,87500.2,88779.3,87400,88731.8,0
1767312000,88730,90900,88273.3,89934,0
1767398400,89934,90677.5,89300,90590.1,0
1767484800,90590.1,91768.3,90590,91507,0
1767571200,91507,94783.9,91489.5,93866.9,0
1767657600,93866.9,94401.8,91230.8,93711.8,0
1767744000,93711.8,93712.5,90591.9,91273.3,0
1767830400,91273.3,91584.7,89225,91029.1,0
1767916800,91029.1,91955.9,89603.4,90513.2,0
1768003200,90513.3,90699.7,90285.2,90375.2,0
1768089600,90375.2,91132.3,90100,90849.8,0
1768176000,90861.1,92364.1,89995.2,91190.9,0
1768262400,91191,96476.1,90938.2,95358.1,0
1768348800,95358.2,97899.7,94509,96933.3,0
1768435200,96933.4,97151.1,95101,95559.4,0
1768521600,95559.5,95800,94260.4,95510.9,0
1768608000,95510.3,95600,95002.6,95089.9,0
1768694400,95089.9,95480.8,93554.6,93632.6,0
1768780800,93626.8,93626.8,91866,92546.5,0
1768867200,92546.5,92805.9,87784.4,88309.9,0
1768953600,88309.9,91111.7,87200,89372.9,0
1769040000,89372.9,90261.7,88422.6,89454.2,0
1769126400,89454.2,91099.5,88470.9,89495,0
1769212800,89495,89786.3,89038.1,89079.6,0
1769299200,89079.6,89177,86007,86572.3,0
1769385600,86572.3,88747.4,86430.5,88247.4,0
1769472000,88247.4,89436.2,87206.2,89124.1,0
1769558400,89124.1,90438.3,88719.2,89159.6,0
1769644800,89159.7,89202.7,83220.3,84515.1,0
1769731200,84515.1,84596.4,81000.1,84124.7,0
1769817600,84124.7,84124.7,75600,78648.4,0
1769904000,78648.4,79315.2,75665.8,76882.2,0
1769990400,76892.4,79250,74543,78669.2,0
1770076800,78669.2,79120.2,72865.2,75662,0
1770163200,75662,76866.2,71722,73013.6,0
1770249600,73008.9,73156.8,62308.2,62858.1,0
1770336000,62858,71695.7,60500,70527.4,0
1770422400,70527.4,71631.2,67343.8,69268.8,0
1770508800,69249.9,72256.1,68855.4,70305,0
1770595200,70300.5,71369.9,68242.5,70087.2,0
1770681600,70103.9,70468.6,67875.1,69440.2,0
